taxonID,scientificName
215771,Callophrys mcfarlandi
122013,Udara blackburni
258013,Chlorostrymon telea
122371,Callophrys mossii
485087,Strymon solitario
217940,Cyanophrys goodsoni
219774,Euphilotes spaldingi
258260,Tmolus crolinus
258168,Paiwarria umbratus
258390,Strephonota tephraeus
148494,Ocaria ocrisia
293968,Cyanophrys amyntor
230444,Satyrium polingi
474836,Iaspis andersoni
258391,Strephonota syedra
257968,Calycopis pisis
257969,Calycopis trebula
257933,Arawacus togarna
483726,Agriades optilete
257913,Allosmaitia strophius
230442,Satyrium fuliginosa
218965,Electrostrymon angelia
148493,Ministrymon azia
258443,Apuecla maeonis
219772,Euphilotes pallescens
293953,Arcas imperialis
257934,Arcas cypria
258261,Tmolus cydrara
293995,Janthecla janthina
258048,Erora nitetis
148730,Callophrys guatemalena
224166,Lycaena dione
258366,Theritas augustinula
258384,Nicolaea velina
258028,Dicya carnica
198816,Callophrys lanoraieensis
231838,Strymon acis
294005,Michaelus ira
258382,Strymon megarus
258374,Ziegleria ceromia
59160,Euphilotes ellisii
258387,Theclopsis mycon
129363,Calephelis nemesis
148831,Caria ino
59165,Apodemia mormo
148508,Melanis cephise
119068,Apodemia virgulti
181057,Hypophylla zeurippa
258407,Pirascca tyriotes
193851,Emesis zela
148746,Emesis emesia
215703,Calephelis virginiensis
214020,Apodemia palmerii
148667,Calephelis velutina
293955,Baeotis zonata
148808,Anteros carausius
182712,Calephelis arizonensis
148506,Melanis pixe
214019,Apodemia nais
205821,Calephelis borealis
124398,Rhetus arcius
294021,Thisbe lycorias
214017,Apodemia duryi
148854,Emesis tenedia
258452,Calydna sturnula
148504,Lasaia sula
450292,Detritivora barnesi
258237,Synargis mycone
205870,Calephelis muticum
293996,Lasaia maria
258252,Theope virgilius
148752,Emesis vulpina
293952,Apodemia walkeri
148833,Calephelis perditalis
148747,Emesis aurimna
258133,Mesene croceella
148753,Emesis tegula
148505,Lasaia agesilas
148503,Calephelis rawsoni
258222,Sarota myrtea
258137,Mesosemia lamachus
472811,Juditha caucana
257929,Apodemia multiplaga
293961,Calephelis mexicana
258136,Mesosemia gemina
484480,Voltinia umbra
312079,Eurybia elvina
258103,Lasaia meris
257982,Caria stillaticia
258218,Sarota chrysus
214018,Apodemia mejicanus
215704,Calephelis wrighti
258104,Lasaia sessilis
258041,Emesis poeas
257914,Ancyluris jurgensenii
142638,Emesis ares
312080,Eurybia lycisca
257898,Adelotypa eudocia
148664,Juditha molpe
258250,Theope publius
197021,Hypophylla sudias
258051,Esthemopsis alicia
293957,Calephelis azteca
293979,Emesis saturata
294070,Behemothia godmanii
148838,Emesis mandana
257928,Apodemia hepburni
257952,Calephelis acapulcoensis
258010,Chalodeta chaonitis
